100085789U;6675512;396174;091;054A;
100085789U;6675512;396174;091;054A;
100085747F;6675459;396305;091;054A;
1000857320;6674929;396135;091;054A;
100085747F;6675459;396305;091;054A;
1000857940;6675563;396101;091;054A;
100085754P;6675478;396230;091;054A;
100085761X;6675613;396244;091;054A;
100085761X;6675613;396244;091;054A;
1000857397;6674943;396171;091;054A;
1000857397;6674943;396171;091;054A;
1000857397;6674943;396171;091;054A;
1000857386;6674943;396145;091;054A;
1000857386;6674943;396145;091;054A;
1000857386;6674943;396145;091;054A;
1000857320;6674929;396135;091;054A;
1000857408;6674929;396164;091;054A;
1000857408;6674929;396164;091;054A;
100085755R;6675496;396289;091;054A;
100085774B;6675285;396041;091;054A;
100085776D;6675314;396054;091;054A;
100085746E;6675449;396332;091;054A;
100085746E;6675449;396332;091;054A;
1000857729;6675382;396124;091;054A;
1000857962;6675170;395824;091;054A;
1000857707;6675300;396134;091;054A;
1000857718;6675353;396103;091;054A;
1000857630;6675565;396311;091;054A;
1000857630;6675565;396311;091;054A;
100085784N;6675354;396226;091;054A;
1000857408;6674929;396164;091;054A;
100085783M;6675458;396177;091;054A;
100085792X;6675593;396143;091;054A;
100085792X;6675593;396143;091;054A;
1000857364;6674816;396066;091;054A;
100085758U;6675510;396208;091;054A;
100085758U;6675510;396208;091;054A;
100085758U;6675510;396208;091;054A;
100085793Y;6675614;396103;091;054A;
1000857973;6675183;395868;091;054A;
100085775C;6675312;396022;091;054A;
1001055465;6677413;397607;091;054H;
100085783M;6675458;396177;091;054A;
1001054513;6675133;395540;091;054A;
1001054513;6675133;395540;091;054A;
1000954726;6675661;395844;091;054A;
100105476W;6674931;395352;091;054A;
1000954726;6675661;395844;091;054A;
100095481F;6675228;395736;091;054A;
100095481F;6675228;395736;091;054A;
1000955302;6675174;396163;091;054A;
100095546K;6675171;395945;091;054A;
100095546K;6675171;395945;091;054A;
1000955612;6675110;395830;091;054A;
100105427A;6675056;395498;091;054A;
100105443U;6674940;395443;091;054A;
100105472S;6674855;395326;091;054A;
100105472S;6674855;395326;091;054A;
100105435K;6674939;395472;091;054A;
100105528K;6677033;397454;091;054H;
100105470P;6674853;395281;091;054A;
100105532P;6677107;397435;091;054H;
1001055177;6674793;395801;091;054A;
100105529L;6677065;397461;091;054H;
100105562N;6677138;397590;091;054H;
100105442T;6674925;395429;091;054A;
1001054812;6674878;395334;091;054A;
100105534S;6677150;397426;091;054H;
1001054225;6675047;395558;091;054A;
1001054225;6675047;395558;091;054A;
1001054258;6675055;395467;091;054A;
100105494F;6674948;395283;091;054A;
1001055509;6677292;397604;091;054H;
1001055509;6677292;397604;091;054H;
1001055509;6677292;397604;091;054H;
100105551A;6677280;397558;091;054H;
1001054203;6674985;395597;091;054A;
100105551A;6677280;397558;091;054H;
100105551A;6677280;397558;091;054H;
100105439P;6674957;395416;091;054A;
100105490B;6674986;395319;091;054A;
100105490B;6674986;395319;091;054A;
100105496J;6674928;395264;091;054A;
1001055155;6674799;395760;091;054A;
100105522C;6677221;397343;091;054H;
100105522C;6677221;397343;091;054H;
100105531N;6677135;397396;091;054H;
100105566T;6677057;397491;091;054H;
100105566T;6677057;397491;091;054H;
1001054203;6674985;395597;091;054A;
1001054214;6675028;395580;091;054A;
100105501P;6674899;395263;091;054A;
100105432F;6675021;395438;091;054A;
1001054214;6675028;395580;091;054A;
100105438N;6674980;395438;091;054A;
1001054801;6674861;395349;091;054A;
1001054801;6674861;395349;091;054A;
1001054856;6674874;395393;091;054A;
100105525F;6677170;397342;091;054H;
100105525F;6677170;397342;091;054H;
100105525F;6677170;397342;091;054H;
100105525F;6677170;397342;091;054H;
1001055443;6677375;397569;091;054H;
100105437M;6675005;395423;091;054A;
100105524E;6677135;397351;091;054H;
100105524E;6677135;397351;091;054H;
100105552B;6677318;397537;091;054H;
100105552B;6677318;397537;091;054H;
100105552B;6677318;397537;091;054H;
100105561M;6677111;397593;091;054H;
100105561M;6677111;397593;091;054H;
100105561M;6677111;397593;091;054H;
100105467L;6674875;395296;091;054A;
1001054834;6674906;395372;091;054A;
100105430D;6675012;395477;091;054A;
100105444V;6674961;395458;091;054A;
1001054524;6675115;395526;091;054A;
1001054524;6675115;395526;091;054A;
100115671S;6675397;397664;091;054D;
100115671S;6675397;397664;091;054D;
1001156171;6675260;397526;091;054C;
1001156215;6675613;397540;091;054C;
1001156171;6675260;397526;091;054C;
100115674V;6675430;397749;091;054D;
100115674V;6675430;397749;091;054D;
100115691D;6675882;397830;091;054D;
100115691D;6675882;397830;091;054D;
100115632H;6675545;397587;091;054C;
100115632H;6675545;397587;091;054C;
100115692E;6675854;397824;091;054D;
100115692E;6675854;397824;091;054D;
100115612V;6675531;397434;091;054C;
100115612V;6675531;397434;091;054C;
100115645X;6675430;397540;091;054C;
1001156215;6675613;397540;091;054C;
1001156215;6675613;397540;091;054C;
100115645X;6675430;397540;091;054C;
100115642U;6675462;397580;091;054C;
100115642U;6675462;397580;091;054C;
100115546R;6677041;397551;091;054H;
1001155573;6676988;397607;091;054H;
100115566C;6677065;397617;091;054H;
100115596B;6677452;397635;091;054H;
100115596B;6677452;397635;091;054H;
100115613W;6675317;397487;091;054C;
100115613W;6675317;397487;091;054C;
1001155584;6676965;397600;091;054H;
100115634K;6675559;397524;091;054C;
100115570H;6677098;397627;091;054H;
100115570H;6677098;397627;091;054H;
100115634K;6675559;397524;091;054C;
100115666L;6675569;397673;091;054D;
1001156780;6675470;397688;091;054D;
100115668N;6675579;397714;091;054D;
100115689B;6675367;397774;091;054D;
100115689B;6675367;397774;091;054D;
100115568E;6677084;397624;091;054H;
100115548T;6677084;397531;091;054H;
100115553Y;6676963;397536;091;054H;
100115582W;6677326;397672;091;054H;
100115639R;6675539;397552;091;054C;
100115639R;6675539;397552;091;054C;
1001156492;6675635;397643;091;054D;
1001156492;6675635;397643;091;054D;
1001156492;6675635;397643;091;054D;
1001156780;6675470;397688;091;054D;
100115664J;6675599;397696;091;054D;
100115661E;6675556;397630;091;054D;
100115662F;6675592;397657;091;054D;
100115677Y;6675450;397653;091;054D;
100115677Y;6675450;397653;091;054D;
100115609S;6675459;397425;091;054C;
1001156182;6675277;397569;091;054C;
1001156182;6675277;397569;091;054C;
1001156237;6675513;397566;091;054C;
1001156237;6675513;397566;091;054C;
100115646Y;6675432;397563;091;054C;
100115646Y;6675432;397563;091;054C;
1001156547;6675556;397708;091;054D;
1001156547;6675556;397708;091;054D;
100115673U;6675418;397721;091;054D;
100115564A;6677049;397616;091;054H;
100115673U;6675418;397721;091;054D;
100115578S;6677274;397690;091;054H;
1001155905;6677402;397654;091;054H;
100115600F;6675512;397292;091;054C;
100115600F;6675512;397292;091;054C;
100115608R;6675491;397411;091;054C;
1001156259;6675506;397528;091;054C;
1001156259;6675506;397528;091;054C;
100115644W;6675456;397530;091;054C;
100115644W;6675456;397530;091;054C;
100115551W;6676944;397513;091;054H;
100115606N;6675436;397434;091;054C;
100115606N;6675436;397434;091;054C;
100115611U;6675510;397404;091;054C;
100115572K;6677119;397631;091;054H;
100115611U;6675510;397404;091;054C;
100115599E;6675548;397324;091;054C;
100115599E;6675548;397324;091;054C;
100115607P;6675446;397469;091;054C;
100115607P;6675446;397469;091;054C;
100115657A;6675509;397718;091;054D;
100115657A;6675509;397718;091;054D;
100115690C;6675859;397891;091;054D;
100115690C;6675859;397891;091;054D;
1001156193;6675300;397614;091;054C;
1001156193;6675300;397614;091;054C;
1001156879;6675325;397686;091;054D;
1001156879;6675325;397686;091;054D;
100115584Y;6677343;397665;091;054H;
100115688A;6675345;397731;091;054D;
100115580U;6677308;397676;091;054H;
100115610T;6675488;397450;091;054C;
1001156248;6675510;397546;091;054C;
1001156248;6675510;397546;091;054C;
1001156846;6675466;397741;091;054D;
1001156846;6675466;397741;091;054D;
100115688A;6675345;397731;091;054D;
100115693F;6675779;397880;091;054D;
100115693F;6675779;397880;091;054D;
100115576P;6677271;397673;091;054H;
100115580U;6677308;397676;091;054H;
1001156791;6675478;397708;091;054D;
1001156514;6675647;397697;091;054D;
1001156514;6675647;397697;091;054D;
100135041L;6684295;390886;091;040E;
1001350928;6684491;391487;091;040E;
1001156791;6675478;397708;091;054D;
1001350319;6684833;390563;091;040E;
1001350851;6684110;391235;091;040E;
100135096C;6683963;391563;091;041A;
1001351150;6684249;391242;091;040E;
1001351150;6684249;391242;091;040E;
100135139S;6680501;383916;091;033E;
1001351559;6680781;383958;091;033E;
100135037F;6684166;391473;091;040E;
1001255072;6684308;391119;091;040E;
1001255072;6684308;391119;091;040E;
1001351205;6684010;391849;091;041A;
1001351205;6684010;391849;091;041A;
100135077S;6684587;391257;091;040E;
100135099F;6684677;391560;091;040E;
100135010L;6684306;391040;091;040E;
100135010L;6684306;391040;091;040E;
100135013P;6684226;391007;091;040E;
100135051X;6684027;391748;091;041A;
1001350939;6684518;391536;091;040E;
100135125A;6683762;391830;091;041A;
100135103L;6684143;391206;091;040E;
1001351216;6683974;391818;091;041A;
1001351216;6683974;391818;091;041A;
100135106P;6684078;391866;091;041A;
100135033B;6684269;391651;091;041A;
1001350917;6684565;391523;091;040E;
100135040K;6684319;390891;091;040E;
1001350308;6684306;390955;091;040E;
100135097D;6684612;391679;091;041A;
100135076R;6683893;391951;091;041A;
1001351504;6680922;383882;091;033E;
1001350585;6684080;391388;091;040E;
1001350895;6684548;391402;091;040E;
1001350895;6684548;391402;091;040E;
100135129E;6684771;391394;091;040E;
100135129E;6684771;391394;091;040E;
100135145Y;6680623;383616;091;033E;
100135008J;6684346;391038;091;040E;
100135008J;6684346;391038;091;040E;
100135009K;6684317;391016;091;040E;
100135097D;6684612;391679;091;041A;
100135100H;6683950;391923;091;041A;
100135009K;6684317;391016;091;040E;
100135011M;6684270;391009;091;040E;
1001350286;6684294;391323;091;040E;
100135079U;6684180;391300;091;040E;
100135101J;6683955;391946;091;041A;
1001448866;6682942;383666;091;033E;
1001448811;6681831;382831;091;033E;
1001448888;6681886;382788;091;033E;
100144892C;6681383;384113;091;033E;
100144901N;6682037;382767;091;033E;
100144925E;6680134;383493;091;033E;
1001449475;6681065;383593;091;033E;
100144846W;6679793;383515;091;033C;
100144878X;6681540;382202;091;033C;
100144896H;6681649;382926;091;033E;
1001448191;6681555;383246;091;033E;
100144896H;6681649;382926;091;033E;
100144904S;6680596;383985;091;033E;
1001449209;6680768;383980;091;033E;
1001448501;6681492;382334;091;033C;
1001448501;6681492;382334;091;033C;
100144864F;6681165;383918;091;033E;
100144876V;6681815;382404;091;033C;
1001448822;6681741;383096;091;033E;
1001448556;6681508;383950;091;033E;
100144866J;6681545;383105;091;033E;
1001448877;6682903;383611;091;033E;
100144868L;6682074;382476;091;033C;
1001448191;6681555;383246;091;033E;
100144833F;6681097;383870;091;033E;
100144893D;6681243;383710;091;033E;
100144894E;6681623;382925;091;033E;
100144927H;6680269;383535;091;033E;
100144895F;6681634;382962;091;033E;
100144937U;6680343;383552;091;033E;
100144938V;6680284;383573;091;033E;
100144938V;6680284;383573;091;033E;
1001449497;6681151;383463;091;033E;
100144929K;6680359;383396;091;033E;
100144835J;6681151;383797;091;033E;
1001449486;6681097;383410;091;033E;
100144829B;6681557;383025;091;033E;
1001448578;6681438;384117;091;033E;
1001448257;6681685;383037;091;033E;
100144927H;6680269;383535;091;033E;
1001448257;6681685;383037;091;033E;
100154573N;6681245;383330;091;033E;
100144843T;6679979;383431;091;033C;
1001448844;6682878;383540;091;033E;
100144899L;6681535;382339;091;033C;
100144905T;6680528;384033;091;033E;
100144905T;6680528;384033;091;033E;
100154594B;6681107;382802;091;033C;
100154600J;6681268;382495;091;033C;
100154633L;6679893;383807;091;033E;
100154670T;6676787;383263;091;029C;
100154670T;6676787;383263;091;029C;
100154673W;6677083;383943;091;029C;
